Action,Name,Points,GameMode,Timestamp
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-04 09:31:02.792
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-11-04 09:44:28.365
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-11-04 09:51:08.538
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-04 09:52:36.983
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-11-04 09:52:37.02
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-11-04 09:54:18.979
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-04 10:04:14.907
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-04 10:07:21.028
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-04 10:07:49.571
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-04 10:08:31.059
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-04 10:11:49.003
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-11-04 10:15:50.52
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-11-06 12:59:50.417
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-11-06 12:59:50.422
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-11-06 12:59:50.423
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-11-06 12:59:50.455
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-11-06 12:59:50.456
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-11-06 12:59:50.457
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 13:04:10.691
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 13:14:22.423
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 13:22:56.82
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 13:23:19.356
RefactorAddXAssertionsAchievement,Double check,10,LEADERBOARD,2025-11-06 13:24:53.593
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-06 13:24:54.033
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-06 13:28:17.549
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-11-06 13:32:37.041
RefactorAddXAssertionsAchievement,Double check,7,LEADERBOARD,2025-11-06 13:33:41.995
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-06 13:33:41.996
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 14:26:42.337
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 14:33:16.362
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-06 14:33:16.449
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 14:40:19.492
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 14:42:09.346
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 14:42:48.9
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 14:47:28.331
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 15:04:09.358
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 15:06:34.427
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-06 15:14:09.669
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 15:17:31.363
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 15:17:56.882
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 15:18:59.595
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 15:21:07.307
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 15:27:53.626
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 15:32:16.675
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 15:41:14.58
RefactorAddXAssertionsAchievement,Double check,4,LEADERBOARD,2025-11-06 15:42:02.774
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-11-06 15:44:44.034
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 15:47:24.412
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-11-06 15:49:21.438
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 15:54:05.239
RefactorAddXAssertionsAchievement,Double check,5,LEADERBOARD,2025-11-06 16:02:05.806
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 16:06:47.517
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 16:09:14.663
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 16:11:43.1
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-06 16:11:43.221
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 16:12:47.839
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-11-06 16:13:10.011
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-11-06 16:13:10.022
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 16:22:30.84
RefactorAddXAssertionsAchievement,Double check,4,LEADERBOARD,2025-11-06 16:28:44.174
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-11-06 16:28:44.186
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-11-06 16:38:24.096
