Action,Name,Points,GameMode,Timestamp
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-04 10:02:45.811
TriggerXAssertsByTestsAchievement,Assert and Tested,4,LEADERBOARD,2025-11-04 10:10:29.4
TriggerXAssertsByTestsAchievement,Assert and Tested,5,LEADERBOARD,2025-11-04 10:12:27.132
RunWithCoverageAchievement,Gotta Catch ’Em All,1,LEADERBOARD,2025-11-04 10:12:27.518
CoverXLinesAchievement,Line-by-line,8,LEADERBOARD,2025-11-04 10:12:28.234
CoverXMethodsAchievement,Check your methods,1,LEADERBOARD,2025-11-04 10:12:28.238
CoverXClassesAchievement,Check your classes,1,LEADERBOARD,2025-11-04 10:12:28.241
CoverXBranchesAchievement,Check your branches,5,LEADERBOARD,2025-11-04 10:12:28.245
CoverXLinesAchievement,Line-by-line,8,LEADERBOARD,2025-11-04 10:12:28.282
CoverXMethodsAchievement,Check your methods,1,LEADERBOARD,2025-11-04 10:12:28.284
CoverXClassesAchievement,Check your classes,1,LEADERBOARD,2025-11-04 10:12:28.285
CoverXBranchesAchievement,Check your branches,5,LEADERBOARD,2025-11-04 10:12:28.287
CoverXLinesAchievement,Line-by-line,8,LEADERBOARD,2025-11-04 10:12:28.302
CoverXMethodsAchievement,Check your methods,1,LEADERBOARD,2025-11-04 10:12:28.303
CoverXClassesAchievement,Check your classes,1,LEADERBOARD,2025-11-04 10:12:28.304
CoverXBranchesAchievement,Check your branches,5,LEADERBOARD,2025-11-04 10:12:28.305
CoverXLinesAchievement,Line-by-line,8,LEADERBOARD,2025-11-04 10:12:28.319
CoverXMethodsAchievement,Check your methods,1,LEADERBOARD,2025-11-04 10:12:28.32
CoverXClassesAchievement,Check your classes,1,LEADERBOARD,2025-11-04 10:12:28.321
CoverXBranchesAchievement,Check your branches,5,LEADERBOARD,2025-11-04 10:12:28.322
RunWithCoverageAchievement,Gotta Catch ’Em All,1,LEADERBOARD,2025-11-04 10:16:06.578
CoverXLinesAchievement,Line-by-line,8,LEADERBOARD,2025-11-04 10:16:06.648
CoverXMethodsAchievement,Check your methods,1,LEADERBOARD,2025-11-04 10:16:06.649
CoverXClassesAchievement,Check your classes,1,LEADERBOARD,2025-11-04 10:16:06.65
CoverXBranchesAchievement,Check your branches,5,LEADERBOARD,2025-11-04 10:16:06.652
TriggerXAssertsByTestsAchievement,Assert and Tested,7,LEADERBOARD,2025-11-04 10:24:01.273
TriggerXAssertsByTestsAchievement,Assert and Tested,8,LEADERBOARD,2025-11-06 13:14:39.326
TriggerXAssertsByTestsAchievement,Assert and Tested,10,LEADERBOARD,2025-11-06 13:24:20.349
TriggerXAssertsByTestsAchievement,Assert and Tested,7,LEADERBOARD,2025-11-06 13:30:05.377
TriggerXAssertsByTestsAchievement,Assert and Tested,6,LEADERBOARD,2025-11-06 13:33:04.019
TriggerXAssertsByTestsAchievement,Assert and Tested,7,LEADERBOARD,2025-11-06 13:33:57.169
TriggerXAssertsByTestsAchievement,Assert and Tested,11,LEADERBOARD,2025-11-06 14:33:47.732
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-11-06 14:34:05.97
TriggerXAssertsByTestsAchievement,Assert and Tested,8,LEADERBOARD,2025-11-06 14:43:07.605
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-06 14:43:13.468
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-11-06 14:46:41.279
